Organization Name,Description,Contact Email,Website,Phone Number,Street Address,Facebook,Twitter,Instagram
Greendale Community Garden,"A volunteer-run community garden growing organic vegetables and herbs. Open to all residents with plots available for rental.",garden@greendale.org,https://greendalegarden.org,555-0101,"123 Garden Lane, Greendale, GD1 2AB",https://facebook.com/greendalegarden,https://twitter.com/gdgarden,https://instagram.com/greendalegarden
The Repair Cafe,"Free monthly repair events where volunteers help fix broken items. Bring your electronics, clothes, furniture and more!",repairs@greendale.org,https://repaircafe-greendale.org,555-0102,"45 High Street, Greendale, GD1 3CD",https://facebook.com/gdrepaircafe,,https://instagram.com/gdrepaircafe
Greendale Food Bank,"Providing emergency food parcels and support to families in need. Open Tuesdays and Thursdays 2-5pm.",info@greendalefoodbank.org,https://greendalefoodbank.org,555-0103,"78 Church Road, Greendale, GD2 4EF",https://facebook.com/greendalefoodbank,,
Eco Refill Store,"Zero-waste shop selling package-free groceries, household products and toiletries. Bring your own containers!",hello@ecorefill.co.uk,https://ecorefill.co.uk,555-0104,"12 Market Square, Greendale, GD1 5GH",,https://twitter.com/ecorefillgd,https://instagram.com/ecorefillgreendale
Greendale Tool Library,"Borrow tools and equipment for DIY projects instead of buying. Membership available from £2/month.",tools@greendale.org,https://greendaletoolibrary.org,555-0105,"89 Station Road, Greendale, GD2 6IJ",https://facebook.com/gdtoollibrary,,
Cycle Greendale,"Community bike workshop offering repairs, training and second-hand bikes. Volunteer mechanics welcome!",info@cyclegreendale.org,https://cyclegreendale.org,555-0106,"34 Mill Lane, Greendale, GD1 7KL",https://facebook.com/cyclegreendale,https://twitter.com/cyclegreendale,
The Green Cafe,"Worker cooperative cafe serving local, organic and plant-based food. All profits support community projects.",cafe@greencoopgd.org,https://greencoopgd.org,555-0107,"56 Bridge Street, Greendale, GD1 8MN",https://facebook.com/greencoopgd,,https://instagram.com/greencoopgd
Greendale Energy Co-op,"Community-owned renewable energy cooperative installing solar panels and promoting energy efficiency.",energy@greendale.coop,https://greendaleenergy.coop,555-0108,"101 Park Avenue, Greendale, GD2 9OP",https://facebook.com/gdenergycoop,https://twitter.com/gdenergycoop,
Little Sprouts Forest School,"Outdoor nature-based learning for children aged 3-11. After school clubs and holiday camps available.",sprouts@greendale.org,https://littlesprouts-greendale.org,555-0109,"67 Oak Drive, Greendale, GD3 1QR",https://facebook.com/littlesproutsgd,,https://instagram.com/littlesproutsgd
Greendale Timebank,"Exchange skills and services without money. One hour of your time equals one hour of someone else's!",timebank@greendale.org,https://greendaletimebank.org,555-0110,"23 Victoria Street, Greendale, GD1 2ST",https://facebook.com/gdtimebank,,
The Maker Space,"Shared workshop with 3D printers, laser cutters, woodworking tools and electronics equipment. Drop-in sessions available.",makers@greendale.org,https://greendalemakers.org,555-0111,"145 Industrial Estate, Greendale, GD4 3UV",https://facebook.com/greendalemakers,https://twitter.com/gdmakers,https://instagram.com/greendalemakers
Transition Greendale,"Grassroots movement working towards a more sustainable and resilient community. Monthly meetings and action groups.",hello@transitiongreendale.org,https://transitiongreendale.org,555-0112,"12 Community Centre, High Street, Greendale, GD1 4WX",https://facebook.com/transitiongd,https://twitter.com/transitiongd,
Greendale Seed Swap,"Free quarterly seed exchange events connecting local gardeners. Bring seeds to swap or just take what you need!",seeds@greendale.org,,555-0113,"Community Centre, High Street, Greendale, GD1 4WX",https://facebook.com/gdseedswap,,
The Clothing Exchange,"Monthly clothes swap events promoting sustainable fashion. Bring unwanted clothes and swap for something new-to-you!",swap@greendale.org,https://clothingexchangegd.org,,"78 Church Hall, Greendale, GD2 5YZ",https://facebook.com/gdclothingexchange,,https://instagram.com/gdclothingexchange
Local Roots Food Hub,"Connecting local food producers with community members. Weekly veg box schemes and farmers market.",info@localrootsgd.org,https://localrootsgd.org,555-0114,"89 Farm Road, Greendale, GD5 6AB",https://facebook.com/localrootsgd,,https://instagram.com/localrootsgd
